Age Gender University_GPA Field_of_Study Internships_Completed Soft_Skills_Score Networking_Score Job_Offers Starting_Salary Career_Satisfaction
24 Male 3.96 Arts 3 9 8 5 27200.0 4
21 Other 3.63 Law 4 8 1 4 25000.0 1
28 Female 2.63 Medicine 4 1 9 0 42400.0 9
25 Male 2.81 Computer Science 3 10 6 1 57400.0 7
22 Male 2.48 Engineering 4 10 9 4 47600.0 9
24 Male 3.78 Law 2 2 2 1 68400.0 9
27 Male 3.83 Computer Science 0 3 3 2 55500.0 7
20 Male 2.84 Computer Science 1 5 1 2 38000.0 2
24 Male 3.31 Business 2 5 5 2 68900.0 2
28 Male 2.33 Computer Science 1 10 2 0 58900.0 4
28 Female 2.87 Mathematics 2 8 1 5 26300.0 9
25 Female 3.26 Law 2 2 9 5 35100.0 7
22 Female 2.77 Engineering 2 2 9 2 42600.0 9
21 Male 2.72 Arts 0 8 6 2 76500.0 4
25 Male 2.0 Business 1 1 8 1 61100.0 9
25 Female 3.61 Computer Science 3 9 9 3 34500.0 7
20 Female 3.78 Law 3 2 5 3 97500.0 8
23 Male 3.94 Mathematics 4 5 2 5 61800.0 1
22 Female 3.44 Mathematics 0 3 4 5 32200.0 9
19 Female 3.1 Mathematics 0 5 3 2 45500.0 8
25 Female 2.54 Medicine 0 8 10 5 42200.0 1
29 Male 4.0 Business 2 8 7 3 37400.0 8
23 Female 3.18 Engineering 0 6 10 2 69500.0 5
19 Female 3.36 Medicine 3 9 10 2 48100.0 3
29 Female 3.36 Engineering 0 7 10 0 63900.0 8
22 Female 3.69 Medicine 2 2 8 4 48100.0 3
18 Female 2.02 Arts 1 1 5 3 44600.0 8
29 Female 2.44 Engineering 0 8 2 2 41000.0 5
27 Male 3.33 Medicine 1 1 9 3 50300.0 8
23 Female 3.79 Mathematics 4 8 1 0 38300.0 3
29 Female 3.37 Engineering 2 9 5 0 49500.0 10
26 Female 2.83 Business 0 1 3 2 41500.0 6
18 Male 2.72 Engineering 4 7 8 3 29800.0 6
28 Male 3.48 Law 4 5 8 3 44600.0 4
28 Female 3.48 Engineering 1 8 1 3 25000.0 5
27 Female 3.21 Medicine 3 4 4 0 70300.0 7
