Age Gender University_GPA Internships_Completed Soft_Skills_Score Networking_Score Job_Offers Starting_Salary Career_Satisfaction
24 Male 3.96 3 9 8 5 27200.0 4
21 Other 3.63 4 8 1 4 25000.0 1
28 Female 2.63 4 1 9 0 42400.0 9
25 Male 2.81 3 10 6 1 57400.0 7
22 Male 2.48 4 10 9 4 47600.0 9
24 Male 3.78 2 2 2 1 68400.0 9
27 Male 3.83 0 3 3 2 55500.0 7
20 Male 2.84 1 5 1 2 38000.0 2
24 Male 3.31 2 5 5 2 68900.0 2
28 Male 2.33 1 10 2 0 58900.0 4
28 Female 2.87 2 8 1 5 26300.0 9
25 Female 3.26 2 2 9 5 35100.0 7
22 Female 2.77 2 2 9 2 42600.0 9
21 Male 2.72 0 8 6 2 76500.0 4
25 Male 2.0 1 1 8 1 61100.0 9
25 Female 3.61 3 9 9 3 34500.0 7
20 Female 3.78 3 2 5 3 97500.0 8
23 Male 3.94 4 5 2 5 61800.0 1
22 Female 3.44 0 3 4 5 32200.0 9
19 Female 3.1 0 5 3 2 45500.0 8
25 Female 2.54 0 8 10 5 42200.0 1
29 Male 4.0 2 8 7 3 37400.0 8
23 Female 3.18 0 6 10 2 69500.0 5
19 Female 3.36 3 9 10 2 48100.0 3
29 Female 3.36 0 7 10 0 63900.0 8
22 Female 3.69 2 2 8 4 48100.0 3
18 Female 2.02 1 1 5 3 44600.0 8
29 Female 2.44 0 8 2 2 41000.0 5
27 Male 3.33 1 1 9 3 50300.0 8
23 Female 3.79 4 8 1 0 38300.0 3
29 Female 3.37 2 9 5 0 49500.0 10
26 Female 2.83 0 1 3 2 41500.0 6
18 Male 2.72 4 7 8 3 29800.0 6
28 Male 3.48 4 5 8 3 44600.0 4
28 Female 3.48 1 8 1 3 25000.0 5
27 Female 3.21 3 4 4 0 70300.0 7
29 Female 2.58 3 2 10 1 57500.0 1
29 Female 3.85 3 7 8 1 43000.0 8
20 Female 3.1 3 7 9 3 25000.0 3
29 Female 3.58 2 8 9 3 50200.0 7
24 Female 2.43 0 9 2 4 53400.0 9
21 Female 2.69 0 6 9 2 56300.0 2
26 Female 3.75 2 3 8 0 38400.0 10
20 Male 2.1 1 5 9 4 53200.0 10
22 Male 3.02 0 3 9 3 78700.0 7
20 Female 2.96 4 10 3 5 42200.0 1
24 Male 3.5 0 9 5 1 65500.0 5
22 Male 2.56 2 5 3 1 49800.0 7
26 Male 2.44 1 7 6 4 47900.0 5
24 Male 3.85 0 10 10 1 52000.0 5
19 Male 3.14 2 7 5 1 42000.0 6
21 Male 2.21 4 7 2 5 52100.0 10
26 Female 2.39 3 10 3 2 64500.0 10
29 Female 4.0 4 4 7 3 63500.0 6
19 Male 2.39 4 4 10 4 67200.0 10
27 Male 3.22 1 3 10 5 40600.0 2
26 Female 2.84 0 4 5 0 50900.0 10
27 Male 3.77 3 9 3 0 82700.0 10
22 Female 3.51 2 5 4 5 35400.0 9
19 Female 3.19 3 6 6 3 48300.0 3
21 Female 2.02 0 4 8 0 31800.0 1
29 Male 3.76 1 1 7 5 51600.0 1
29 Female 2.89 0 7 3 1 65600.0 9
24 Male 3.86 2 7 2 2 75700.0 6
29 Female 2.99 3 6 3 4 35000.0 7
